PROFIL_RAIL;Profil
136LBS;Autre
33;46-E2
46 Kg  U33 - 46E2 - S33;46-E2
46 Kg U33 - S33;46-E2
46 kg U33-S33;46-E2
4,60E+03;46-E2
46-E2;46-E2
50;50-E6
50 e 6;50-E6
50 Kg U50  - 50;50-E6
50 Kg U50  - 50E1 - 50E6 -  U36;50-E6
50 Kg U50 - U36;50-E6
50 Kg U50 - U50E - U36 - 50E1 - 50E6;50-E6
50 kg U50-U36;50-E6
5,00E+02;50-E6
50-E1;50-E6
5,00E+07;50-E6
50-E6;50-E6
50kg;50-E6
55 Kg U55 - 55E1 - U39;55-E1
55 Kg U55 - U39 - 55E1;55-E1
55 kg U55-U39;55-E1
5,50E+02;55-E1
60;60-E1
60 Kg UIC60 - 60E1 - U80;60-E1
60 Kg UIC60 - U80;60-E1
60 Kg UIC60 - U80 - 60E1;60-E1
60 kg UIC60-U80;60-E1
6,00E+02;60-E1
60-E1;60-E1
95;50-E6
99;50-E6
A74;60-E1
Aig 60D - 60E1A4;60-E1
Aig A74 - 60E1T2;60-E1
Aig U59 - 50E6A1;50-E6
Aig UIC61 - A61 - 60E1T1;60-E1
Autres profils Vignoles >= 50 kg;50-E6
Autres profils Vignoles>= 50 Kg;50-E6
Autres profils y compris DC;Autre
Autres profils, y compris DC;Autre
CAig  UIC60 - 60E1;60-E1
CAig U60 -  50E6A2;50-E6
CAig U60 - 50E6A2;50-E6
CAig UIC60 - 60E1;60-E1
CND39;Autre
DCO46;Autre
DCO46A;Autre
DCO46N;Autre
Est 46;Autre
Est45;Autre
Est46;Autre
Inconnu;50-E6
Nord45;Autre
PO37;Autre
Profils différents encadrant une soudure;50-E6
Profils diffÚrents encadrant une soudure;50-E6
Rail aiguille U59;50-E6
Rail aiguille UIC61;60-E1
Rail c-aiguille U60;60-E1
Rail c-aiguille UIC60;60-E1
S 12;Autre
S 33;46-E2
S 36;50-E6
S 39;55-E1
S12;Autre
s121;Autre
S33;46-E2
S36;50-E6
S39;55-E1
U 33;46-E2
U 36;50-E6
u 59;50-E6
U 60;50-E6
U33;46-E2
U36;50-E6
U39;55-E1
U50;50-E6
U50/u59;50-E6
U50E;50-E6
U55;55-E1
U59;50-E6
U60;50-E6
U80;60-E1
U87;55-E1
uic 60;60-E1
uic50;50-E6
UIC60;60-E1
UIC60 / UIC 60;60-E1
UIC60E;60-E1
UIC 60;60-E1
5,00E+07;50-E6
NORD45;Autre
EST46;Autre
s33;46-E2
u60;50-E6
5,00E+02;50-E6
